Feature,PSI_Score,Drift_Status
Age,0.30386598578534296,Significant (Drifted)
Smoking_Intensity,0.052983935802365045,Minimal (Stable)
Years_Smoked,0.04578303590452108,Minimal (Stable)
Cigarettes_Per_Day,0.07390025589486757,Minimal (Stable)
Pack_Years,0.17376011741844244,Moderate (Warning)
PM25_Level,0.060245774535011926,Minimal (Stable)
Radon_Exposure,0.03769492902167807,Minimal (Stable)
Asbestos_Exposure,0.0,Minimal (Stable)
BMI,0.23250648380420985,Significant (Drifted)
Oxygen_Saturation,0.13233564243457088,Moderate (Warning)
Oxygen_Percentage,0.18924764254872983,Moderate (Warning)
Breathlessness,0.0,Minimal (Stable)
Chronic_Cough,0.0,Minimal (Stable)
Chest_Pain,0.0,Minimal (Stable)
Wheezing,0.0,Minimal (Stable)
Fatigue_Level,0.14740285953517204,Moderate (Warning)
Heart_Rate,0.26815342653980023,Significant (Drifted)
BP_Systolic,0.39198400669261485,Significant (Drifted)
BP_Diastolic,0.16011974994734285,Moderate (Warning)
